N,RNG,MeanPnL,MeanPnL_SE,VaR95,VaR95_SE,ES95,ES95_SE,VaR99,VaR99_SE,ES975,ES975_SE
256,MersenneTwister,-4154.30299565,557.829149083,-12788.71751,92.7324805762,-13049.7794705,80.6669653055,-13170.663539,71.6271404214,-13187.5047575,67.2071664374
256,Antithetic,-4380.66612465,374.52244743,-12935.7045049,145.853966068,-13175.9717005,91.4901745036,-13240.2516144,170.220822388,-13303.5419762,105.932655656
256,Sobol,-4578.80062316,303.980848639,-12905.453666,68.2415199014,-13200.9163517,68.2415199014,-13418.6562357,68.2415199014,-13399.5307982,68.2415199014
512,MersenneTwister,-4534.52982958,390.013139864,-12788.71751,70.2094562746,-13162.4508268,85.4603544928,-13362.0065435,140.660789227,-13401.310684,109.168227425
512,Antithetic,-4511.20456159,270.914092103,-12797.2388113,86.1596578469,-13098.6700708,69.1365166828,-13233.8117108,84.5115984428,-13259.2541046,69.1565853676
512,Sobol,-4430.83687548,188.792893138,-12894.1544739,49.5557302289,-13193.7757859,49.5557302289,-13383.4226563,49.5557302289,-13407.53684,49.5557302289
1024,MersenneTwister,-3900.27581761,296.248612339,-12878.3310866,42.0648830204,-13186.7628157,59.4303518828,-13365.081201,87.5145970005,-13401.5589242,80.5596540463
1024,Antithetic,-4540.89814909,190.003571087,-12820.4423794,60.9078292706,-13169.713821,52.8733184686,-13365.081201,71.1700363434,-13369.1901462,60.2724144525
1024,Sobol,-4365.28741761,101.547107395,-12888.7003656,50.5933250372,-13184.8328549,43.5024030117,-13365.4790484,43.5024030117,-13387.0324139,43.5024030117
2048,MersenneTwister,-3819.35237548,212.200729079,-12888.9585322,31.886161946,-13182.8999983,38.4900732295,-13385.9000039,67.4159951746,-13381.6200881,50.7516250084
2048,Antithetic,-4146.04089224,145.490359075,-12888.2411884,34.4703587921,-13194.4117095,38.3453677259,-13390.979888,43.8389533937,-13378.4102788,47.0361690296
2048,Sobol,-4294.81982059,63.8630936388,-12864.2048474,14.4445632129,-13168.7818966,30.292286383,-13341.5979349,39.4618229843,-13359.2302115,39.4618229843
4096,MersenneTwister,-4065.59637177,146.367147255,-12877.2240225,21.2577169161,-13165.4744743,25.8887757454,-13385.3839406,46.6209929343,-13359.8776156,33.4850845367
4096,Antithetic,-4228.52102053,102.29435309,-12913.709303,24.0239250328,-13197.132858,25.1438357024,-13390.979888,34.0845883116,-13379.0051872,31.5179700127
4096,Sobol,-4274.9981867,43.6154814716,-12870.7542586,9.58634827679,-13167.3831072,15.6407521377,-13348.6286817,35.0275014347,-13353.7915087,24.976449793
8192,MersenneTwister,-4313.15318181,101.327646881,-12876.1955311,14.5654681433,-13152.035924,16.9280554844,-13349.4206707,27.9680232035,-13334.2090449,20.7358730518
8192,Antithetic,-4286.37098792,70.5514560736,-12880.4099992,15.4115965607,-13165.4615909,17.4535330513,-13380.0155665,25.2172121208,-13347.8266857,21.3124551644
8192,Sobol,-4276.0845233,22.2518025857,-12875.3688787,6.84246798105,-13168.0127591,8.55184493124,-13350.7795073,14.0021418769,-13355.7697856,13.3308774994
16384,MersenneTwister,-4255.03302879,72.0260347823,-12857.9444815,11.7499994754,-13145.4871962,12.8064810309,-13339.9243183,21.3243682539,-13330.4342696,15.5676103479
16384,Antithetic,-4363.02834767,46.3448789835,-12870.81828,10.3450444023,-13152.6372137,11.3795172997,-13349.4206707,21.1407662465,-13331.4926761,13.6475024592
16384,Sobol,-4283.0588291,16.8991155378,-12875.1196784,4.01496917059,-13165.306573,4.16944345217,-13349.5994511,6.90274741631,-13350.95418,6.77894526123
32768,MersenneTwister,-4255.68570906,50.9518301852,-12868.8637007,8.64496754158,-13165.94526,9.19159030355,-13368.8396188,14.4251893638,-13353.4326806,11.0907053902
32768,Antithetic,-4358.62807051,34.4200781062,-12860.6826466,7.90439553364,-13150.3940988,8.52415270596,-13337.1516422,14.8597812628,-13333.1367872,10.1729035544
32768,Sobol,-4284.64295232,11.0166838083,-12868.6774914,2.7466433347,-13162.4085359,2.37195695932,-13347.9757059,5.16552462471,-13347.512126,3.81357349379
65536,MersenneTwister,-4261.55535818,36.1302949124,-12874.7112557,6.67928278492,-13167.2903423,6.65697794821,-13356.6348431,11.0025309545,-13351.3174867,8.00128899886
65536,Antithetic,-4317.76209266,22.436124647,-12868.6987528,6.59139103457,-13160.63356,6.35642657406,-13354.0322578,10.5088646249,-13343.3240411,7.08499064613
65536,Sobol,-4280.2938706,4.91173780362,-12868.6774914,1.99781406535,-13162.9470902,1.27113895261,-13349.1380057,3.61580819645,-13348.3400913,1.7370925798
131072,MersenneTwister,-4263.36331922,25.4975857773,-12872.1530237,4.30639116783,-13171.2910219,4.37107561105,-13367.1760378,6.42695059918,-13360.36379,5.18891026255
131072,Antithetic,-4271.70997318,17.5275630471,-12871.3726312,4.57229349342,-13163.0744776,4.36941771233,-13353.1027891,7.25472082047,-13346.1158899,5.11223500869
131072,Sobol,-4283.50447377,3.55964722203,-12868.7831889,1.24530397518,-13162.9937108,0.888549939904,-13349.7014083,1.93833218363,-13348.2064396,1.06097946256
