Año,Era Analítica y Complejidad,Nacimiento del Riesgo Global,Riesgo de Cola Post-2008,Cuello de Botella Computacional
1975,18.467220683287163,124.65373961218837,10.772545398584178,7.694675284702986
1976,30.859868144199748,110.81498106326274,5.610885117127227,5.610885117127227
1977,36.255341188657255,117.82985886313608,25.896672277612325,11.653502524925548
1978,55.93536357986327,120.57178371659415,8.70105655686762,7.458048477315103
1979,39.24284395198522,154.66297322253,9.233610341643582,12.696214219759927
1980,45.599151643690355,144.220572640509,7.423117709437964,9.544008483563097
1981,51.351917836931456,132.04778872353805,11.52798155522951,10.479983232026829
1982,73.41536552579878,138.55857718953573,3.102057698273188,10.340192327577293
1983,75.57961393116126,147.07384332550302,8.170769073639056,10.21346134204882
1984,101.02991662579696,164.78666012751347,7.84698381559588,17.65571358509073
1985,85.42141230068337,178.43583902809414,11.389521640091116,7.593014426727411
1986,82.90426738807925,175.40797626319923,10.47211798586264,15.708176978793961
1987,86.90106035238779,154.66794227856175,8.769831778681336,22.32320816391613
1988,98.17671809256662,170.64048620850866,11.687704534829358,21.817048465014803
1989,104.44428437657567,139.73924944176332,6.482748685442628,19.448246056327882
1990,96.30926724137932,160.9644396551724,12.122844827586206,26.26616379310345
1991,110.10237589337454,166.11937415491596,9.658103148541626,33.48142424827764
1992,99.8407448242068,154.96753644493447,11.025358324145534,26.950875903466862
1993,121.46694697500584,169.93693062368604,11.6795141322121,36.790469516468114
1994,139.35041269160683,169.36434773287598,6.967520634580341,39.1253081787973
1995,141.20347270731463,172.13850913082524,8.981139606825666,39.41722382995709
1996,192.11231181305993,226.74794495243373,10.159785720882978,41.10095132539023
1997,211.46999528160254,225.19624243984043,9.007849697593617,39.46296057993394
1998,222.16191066997519,250.46526054590572,9.692928039702233,39.54714640198511
1999,247.2994089272369,298.93335145050617,12.568788640532643,34.649093009035944
2000,255.24563212305293,317.6637779697383,15.325884024855796,38.45403628054727
2001,258.927191219663,350.6466738805586,16.48889575926212,37.357654454578245
2002,270.8356765268249,353.391069620965,23.844336969969632,43.18974243617141
2003,273.1867231252561,383.43707924366305,23.806271586629464,34.34347376431791
2004,281.97381671701913,375.9650889560255,30.564831010052828,44.168830939382694
2005,262.55089245630603,406.8300385466817,30.34196634518631,54.80130656222425
2006,269.04353788138496,416.7295166266712,33.18477888241344,60.33596160438807
2007,265.18129114670336,405.44856047951265,39.54996560872556,61.16733811535816
2008,265.0011927222258,429.0547134213779,49.33532843232928,66.7924446468458
2009,255.3716594918942,441.0365583699922,54.06983863826901,69.42416563833496
2010,252.97743331050495,431.37287654300366,50.69570882122038,85.27235371740692
2011,230.9657563999676,428.5787912031276,49.18237974981778,98.9537700355615
2012,231.10675782103127,425.48263059318725,51.687966167876695,96.62539129974388
2013,207.13669236034642,429.2729383054076,52.61748162257076,113.74661468408678
2014,194.47270817605934,424.1200862134988,55.90748460082494,124.88922440673517
2015,185.76443981040742,428.90027250152366,55.910663825800505,130.35747565871324
2016,173.5407865490618,423.4902703439331,52.81880424618074,140.55252980456103
2017,153.6716927600971,426.3052823566443,57.90715021796027,137.58876868615877
2018,144.76190476190476,404.7715247715248,57.412217412217416,146.76286676286676
2019,132.59301939832034,416.4265884448169,57.65369371256962,164.9293733521904
2020,115.77292512926765,418.29103168761304,55.826661698911636,160.60388514792703
2021,113.08460626152065,425.7891202149093,58.47134304045269,176.92868268007948
2022,100.40346095083792,431.9855609004383,58.60606748273615,167.66454425272647
2023,100.75846286899487,428.883582455093,58.45368478252551,241.65958716965537
2024,96.26770328591684,413.3493292616425,59.283610925011295,275.8518610847109
