,MC_Hull_White,MC_Riesgo,MC_Tech
1992,,,1.0
1993,,,1.0
1995,,,1.0
1996,,,2.0
1997,,,3.0
1998,1.0,,5.0
1999,1.0,,7.0
2000,,,7.0
2001,,,6.0
2002,,,6.0
2003,,1.0,2.0
2004,,,6.0
2005,2.0,,3.0
2006,,1.0,5.0
2007,,3.0,6.0
2008,2.0,,5.0
2009,,1.0,6.0
2010,2.0,2.0,16.0
2011,2.0,4.0,14.0
2012,2.0,4.0,21.0
2013,1.0,2.0,30.0
2014,1.0,4.0,25.0
2015,6.0,2.0,36.0
2016,5.0,5.0,34.0
2017,2.0,2.0,42.0
2018,8.0,4.0,50.0
2019,7.0,5.0,71.0
2020,5.0,2.0,89.0
2021,9.0,4.0,77.0
2022,6.0,8.0,84.0
2023,5.0,3.0,76.0
2024,8.0,7.0,100.0
2025,5.0,4.0,121.0
2026,3.0,2.0,42.0
